City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
211,Olinda,BR,78.8,broken clouds,-8.01,-34.86,Hotel 5 Sóis
212,Tortoli,IT,78.8,clear sky,39.93,9.66,Hotel La Bitta
214,Hasaki,JP,79.0,mist,35.73,140.83,Inubosaki Kanko Hotel
215,Kalugumalai,IN,81.72,overcast clouds,9.15,77.72,Hotel Balaji
216,Arrecife,ES,75.2,few clouds,28.96,-13.55,Hotel Lancelot
217,Sao Filipe,CV,77.67,scattered clouds,14.9,-24.5,Tortuga B&B
218,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
219,Poum,NC,72.01,clear sky,-20.23,164.02,Gîte kajeon
220,Vila Franca Do Campo,PT,71.6,few clouds,37.72,-25.43,Pestana Bahia Praia
225,Miraflores,MX,78.8,scattered clouds,19.22,-98.81,Hotel Mansión
226,Ponta Do Sol,PT,73.4,broken clouds,32.67,-17.1,Hotel do Campo
227,Banda Aceh,ID,79.36,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
230,Pachino,IT,75.99,clear sky,36.72,15.09,Il Veliero
231,Manzanillo,CU,84.69,light rain,20.34,-77.12,Adrian & Tonia
232,Shimoda,JP,84.0,clear sky,34.67,138.95,Shimoda Tokyu Hotel
234,Hithadhoo,MV,83.52,broken clouds,-0.6,73.08,Scoop Guest House
239,Bacolod,PH,80.33,broken clouds,10.67,122.95,Planta Hotel & Residences
252,Bardiyah,LY,75.81,clear sky,31.76,25.09,بورتو بردية
253,Shetpe,KZ,72.37,light rain,44.17,52.12,Rtsm Shetpe Analog
254,Ranong,TH,78.75,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
255,Lumby,CA,84.2,overcast clouds,50.25,-118.97,Twin Creeks Motel
256,Key West,US,89.6,few clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
257,Kandrian,PG,81.19,light rain,-6.22,149.55,Kandrian Station
259,Maningrida,AU,71.94,clear sky,-12.07,134.27,Dhukurrdji Lodge
263,Sioux Lookout,CA,80.6,overcast clouds,50.1,-91.92,Knobby's Fly-In Camps
264,Kano,NG,71.38,broken clouds,12.0,8.52,La Sultana Hotel
266,Bella Vista,US,89.01,clear sky,36.43,-94.23,The Inn at Bella Vista
267,Tchollire,CM,72.01,light rain,8.4,14.17,"Auberge ""l'amicale"""
269,Luanda,AO,71.6,broken clouds,-8.84,13.23,EPIC SANA Luanda
274,Tuburan,PH,78.8,thunderstorm,6.64,122.27,Bohe Puno
280,Tshikapa,CD,75.69,overcast clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
281,Fukuma,JP,82.99,broken clouds,33.77,130.47,Masago
283,Thongwa,MM,77.0,broken clouds,16.76,96.53,Mhaw Wun Marlar Park
284,Cabo San Lucas,MX,87.01,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
288,Kipini,KE,76.33,scattered clouds,-2.53,40.53,Tana River Lodge
294,La Peca,PE,73.67,moderate rain,-5.61,-78.44,Iks Fuente De Soda Restaurant
296,Isangel,VU,77.0,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
297,San Felipe,VE,75.56,moderate rain,10.34,-68.74,Posada Llovizna Rodríguez
299,Kisangani,CD,72.64,scattered clouds,0.52,25.2,Grand Ramela Hotel
300,Port Blair,IN,81.72,overcast clouds,11.67,92.75,Fortune Resort Bay Island
301,Surt,LY,79.47,clear sky,31.21,16.59,City Hotel
302,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
304,Camocim,BR,77.43,few clouds,-2.9,-40.84,Hotel Ilha do Amor
306,Galesong,ID,71.6,clear sky,-5.32,119.37,Sapriadi Appy
307,Ambon,ID,77.0,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
308,Puerto Del Rosario,ES,77.0,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
310,Republic,US,89.6,scattered clouds,37.12,-93.48,AmericInn by Wyndham Republic
312,Pringsewu,ID,71.46,overcast clouds,-5.36,104.97,Urban Style by Front One
313,Nanning,CN,77.0,scattered clouds,22.82,108.32,Nanning Travelling With Hostel
314,Celestun,MX,86.29,overcast clouds,20.87,-90.4,Posada Lilia
315,Caravelas,BR,72.45,light rain,-17.71,-39.25,Pousada dos Navegantes
316,Altamira,BR,81.46,few clouds,-3.2,-52.21,Requinte Hotel
317,Buraydah,SA,89.6,scattered clouds,26.33,43.98,Mövenpick Hotel Qassim
321,Chhabra,IN,76.64,moderate rain,24.67,76.83,Shiv temple pratap nagar
323,Ohara,JP,82.4,mist,35.25,140.38,魁
325,Kaohsiung,TW,78.8,light intensity shower rain,22.62,120.31,Kindness Hotel
326,Los Llanos De Aridane,ES,81.0,clear sky,28.66,-17.92,Valle Aridane
330,Rincon,US,84.2,overcast clouds,32.3,-81.24,Bent tree subdivision
331,Belmonte,BR,73.4,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
332,Digapahandi,IN,78.37,overcast clouds,19.37,84.58,Pradeep jewellers
334,Marsh Harbour,BS,83.39,clear sky,26.54,-77.06,Abaco Beach Resort
335,Khartoum,SD,89.6,broken clouds,15.55,32.53,Hotel China
337,Rangapara,IN,76.01,clear sky,26.82,92.65,Bidhan
339,Constantine,DZ,82.4,few clouds,36.37,6.61,Grand Hotel Cirta
341,Novooleksiyivka,UA,73.87,broken clouds,46.23,34.64,"Novooleksiivka, Khersonska, Ukraina"
