City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Cabedelo,-6.98,-34.83,77.0,83,15,13.87,BR,2020-08-20 22:02:25
70,Nome,64.5,-165.41,64.0,76,1,10.29,US,2020-08-20 22:00:19
71,Sikasso,10.92,-7.0,75.04,91,97,3.42,ML,2020-08-20 22:02:25
72,Barrow,71.29,-156.79,44.6,93,90,3.36,US,2020-08-20 22:02:26
73,Hella,67.2,14.43,51.8,71,75,5.82,NO,2020-08-20 22:02:26
74,Uthal,25.81,66.62,83.32,79,90,4.16,PK,2020-08-20 22:02:26
75,Lorengau,-2.02,147.27,84.04,71,22,8.75,PG,2020-08-20 22:02:26
76,Saint-Joseph,-21.37,55.62,68.0,56,14,6.93,RE,2020-08-20 22:02:27
77,Bulawayo,-20.15,28.58,53.55,87,80,10.65,ZW,2020-08-20 22:02:27
78,Tasiilaq,65.61,-37.64,50.0,53,0,8.05,GL,2020-08-20 22:02:27
79,Lavrentiya,65.58,-171.0,52.97,68,59,5.97,RU,2020-08-20 22:02:27
80,Kulhudhuffushi,6.62,73.07,82.36,75,100,9.86,MV,2020-08-20 22:02:27
81,Vila Franca Do Campo,37.72,-25.43,69.8,94,75,12.75,PT,2020-08-20 22:02:28
82,Garowe,8.41,48.48,79.29,61,23,23.51,SO,2020-08-20 22:02:28
83,Ayan,56.45,138.17,56.21,66,14,14.79,RU,2020-08-20 22:02:28
84,Aksarka,66.56,67.8,53.85,92,84,8.28,RU,2020-08-20 22:02:28
85,Pathein,16.78,94.73,75.81,93,100,2.91,MM,2020-08-20 22:00:20
86,San Quintin,30.48,-115.95,80.37,63,18,8.23,MX,2020-08-20 22:02:29
87,Kodiak,57.79,-152.41,73.4,43,40,12.75,US,2020-08-20 21:59:09
88,Atoyac,20.02,-103.53,77.0,50,75,2.62,MX,2020-08-20 22:02:29
89,Albany,42.6,-73.97,77.0,40,10,1.97,US,2020-08-20 21:58:09
90,Mumford,5.26,-0.76,74.75,89,62,12.33,GH,2020-08-20 22:02:29
91,Vila Velha,-20.33,-40.29,78.01,83,75,9.17,BR,2020-08-20 22:01:39
92,Rodbyhavn,54.65,11.35,69.01,81,66,2.59,DK,2020-08-20 22:02:30
93,Estelle,29.85,-90.11,82.4,69,20,4.7,US,2020-08-20 22:02:30
94,Chokurdakh,70.63,147.92,37.49,87,98,3.47,RU,2020-08-20 22:02:30
95,Saldanha,-33.01,17.94,51.8,87,29,5.82,ZA,2020-08-20 22:02:30
96,Moose Factory,51.26,-80.61,59.0,67,1,8.05,CA,2020-08-20 22:02:31
97,Jamestown,42.1,-79.24,77.0,46,1,6.93,US,2020-08-20 22:02:22
98,Muros,42.78,-9.06,66.99,82,47,15.99,ES,2020-08-20 22:02:32
99,Finschhafen,-6.6,147.87,79.75,77,83,5.68,PG,2020-08-20 22:02:32
100,Padang,-0.95,100.35,78.35,76,55,4.45,ID,2020-08-20 22:02:32
101,Luan,46.36,6.98,75.2,53,0,1.12,CH,2020-08-20 22:02:33
102,East London,-33.02,27.91,61.2,71,100,13.8,ZA,2020-08-20 22:02:33
103,Ambon,-3.7,128.18,77.79,82,21,6.6,ID,2020-08-20 22:02:33
